abrv	meaning	similarity
RIDD	regulated Ire1-dependent decay	0.40295279026031494
CFR	case fatality ratio	0.3600447475910187
KSHV	Kaposi's sarcoma-associated herpesvirus	0.7142659425735474
EGF	Epidermal Growth Factor	0.5220843553543091
c-di-GMP	cyclic-di–guanosine monophosphate	0.5253425240516663
YNP	Yellowstone National Park	0.6080257296562195
CDV	canine distemper virus	0.834828794002533
DHF/DSS	dengue hemorrhagic fever and dengue shock syndrome	0.7407490015029907
UIDs	unique identifiers	0.6325297355651855
ICDs	intracellular domains	-0.007758914493024349
ACT	α(1)-antichymotrypsin	0.0
CLU	clusterin	0.6704666018486023
HAP	haptoglobin β-chain	0.026827475056052208
LRG	leucine rich glycoprotein	0.2104288935661316
APPs	acute-phase proteins	0.6163349747657776
Nab	neutralizing antibodies	0.5419737696647644
Mabs	monoclonal antibodies	0.8062864542007446
PCN	protein cage nanoparticle	0.0522766150534153
iBALT	inducible bronchus-associated lymphoid tissue	0.5202617645263672
PEDV	porcine epidemic diarrhea virus	0.6868873834609985
OM	otitis media	0.4105747640132904
U.S.	United States	0.707879364490509
IMAC	immobilized metal ion affinity chromatography	0.7626925110816956
MID	minimal important difference	0.18588218092918396
AUC	area under the time severity curve	0.5557754039764404
GPV	Goose parvovirus	0.5162785053253174
MTCT	Mother-to-child transmission	0.6782833933830261
L-SIGN	liver/lymph node–specific ICAM-grabbing non-integrin	0.5815577507019043
L-SIGN)	node–specific ICAM-grabbing non-integrin	0.593292236328125
IU	in utero	0.032011378556489944
IP	intrapartum	-0.03761748597025871
BDV	Borna disease virus	0.7879247069358826
G	glycoprotein	0.2685234844684601
kDa	kilodaltons	0.8860163688659668
VFP	viral fusion proteins	0.11009659618139267
TCR	cell receptor	0.4522971510887146
TBSV	Tomato bushy stunt virus	0.7364305853843689
CPZ	chlorpromazine	0.7746338844299316
QC	quinacrine	0.013595200143754482
UDCA	Ursodeoxycholic acid	0.650316596031189
GLT	germline transmission	0.08496183902025223
HAART	highly active antiretroviral therapy	0.7624661326408386
ELISPOTs	enzyme-linked immunospots	0.34581276774406433
LDR	Ligase Detection Reaction	0.2144104540348053
GALT	gut associated lymphoid tissues	0.6102472543716431
ART	antiretroviral therapy	0.7282647490501404
PICTs	Pacific Island Countries and Territories	0.5396366715431213
for R(0	for R(0 )= 3.0) or 380	0.41089561581611633
rDC	respiratory dendritic cells	0.44988882541656494
DLN	draining lymph nodes	0.7302923202514648
TLR3	toll-like receptors 3	0.6601595878601074
BMDC	bone marrow–derived dendritic cells	0.6154893636703491
JHMV	JHM strain of mouse hepatitis virus	0.7598220705986023
BBB	blood-brain-barrier	0.7661170959472656
GDP	gross domestic product	0.300342321395874
PEDs	pediatric emergency departments	0.3799903392791748
RNs	registered nurses	0.8017744421958923
RTs	respiratory therapists	0.10599223524332047
ATE	avian tracheal epithelial	0.013446633704006672
MPP	Multiplex Primer Prediction	0.11429320275783539
CTLD	C-type lectin domain	0.7552573084831238
RSCU	relative synonymous codon usage	0.7089769244194031
HPLC	High Performance Liquid Chromatography	0.6133356094360352
BASCs	bronchoalveolar stem cells	0.5821985602378845
AHC	acute hemorrhagic conjunctivitis	0.3613412380218506
SMS	short message service	0.5202232003211975
VTEC	verocytotoxin-producing Escherichia coli	0.6738617420196533
cfu	colony forming units	0.5466598868370056
IMS	immuno-magnetic separation	0.45249220728874207
PCSK	Proprotein Convertase Subtilisin/Kexin	0.3638051748275757
Eda	enediynyl amino acid”	0.24975542724132538
CAMs	Cell adhesion molecules	0.5735241174697876
PAM	Pregnancy-associated malaria	0.15215905010700226
IEs	falciparum-infected erythrocytes	0.6405006647109985
CSA	chondroitin sulphate A	0.17532096803188324
VSA	variant surface antigens	0.2948831021785736
n = 3	n = 3), G307S	0.9563080668449402
AIDS	Acquired Immune Deficiency Syndrome	0.43269455432891846
PF	pulmonary fibrosis	0.18643906712532043
IRES	internal ribosome entry site	0.6021819114685059
SPs	signal peptides	0.3353210687637329
FOCMA	feline oncornavirus-associated cell membrane antigen	0.5876995325088501
ICTV	International Committee on the Taxonomy of Viruses	0.6086205244064331
RSPs	recombinant subviral particles	0.5791643857955933
DV	dengue virus	0.33117982745170593
IRE-1	inositol-requiring enzyme 1	0.5530980825424194
ATF6	activating transcription factor 6	0.4534299969673157
PERK	PKR-like ER kinase	0.7952260971069336
ATF4	activating transcription factor 4	0.5426610112190247
CHOP	C/EBP homologous protein	0.3440895080566406
IFNAR1	alpha-receptor subunit 1	0.3675869405269623
ATA	aurintricarboxylic acid	0.20942486822605133
URT	upper respiratory tract	0.6978025436401367
NPS	nasopharyngeal swab samples	0.17907755076885223
n = 1	n = 11) and B	0.8909741044044495
IPD	invasive pneumococcal disease	0.6258677244186401
IgG	immunoglobulin G	0.5722821950912476
BMDMs	marrow derived macrophages	0.554352879524231
LLO	listeriolysin O	0.638558030128479
LC3	light chain 3	0.3393855392932892
PFO	perfringolysin O	0.15900923311710358
CHPV	Chandipura Virus	0.6589077711105347
VNTR	variable number tandem repeat	0.5377337336540222
RdRp	RNA-dependent RNA polymerase	0.7917304039001465
nsp12	nonstructural protein 12	0.49766606092453003
CCV	canine coronavirus	0.3968488574028015
8 items	items), academic exchanges and community education	0.47669538855552673
HTS	high throughput screening	0.5940545201301575
AFP	acute flaccid paralysis	0.17483150959014893
RT-LAMP	transcription-loop-mediated isothermal amplification	0.6054348349571228
HEV-C	enterovirus species C	0.6520557999610901
MTB	Mycobacterium tuberculosis	0.8325796723365784
MAPK	mitogen-activated protein kinase	0.8498216271400452
MKP-1	phosphatase-1	0.6361189484596252
ASPA	aspartoacylase	0.5944461226463318
UK	Urokinase	0.0585373155772686
PE	pulmonary embolism	0.3706701993942261
UK-2 h	for 2 hours	0.788240909576416
NHBE	normal human bronchial epithelial	0.5990573763847351
HAT	human airway trypsin-like	0.23539674282073975
ISGs	IFN-stimulated genes	0.7324384450912476
SILAC	stable isotope labeling by amino acids in cell culture	0.5409426093101501
SCCD	Secondary Case Count Difference	0.1146235242486
IL-8	interleukin-8	0.8349179029464722
RLR	RIG-I-like receptor	0.7005926370620728
BM	bone-marrow	0.7147698998451233
Macs	macrophages	0.3948899209499359
Nc	number of codons	0.381947785615921
ORF 3	open reading frame 3	0.7400646209716797
ERGIC	endoplasmatic reticulum/Golgi intermediate compartment	0.7693604826927185
FIP	feline infectious peritonitis	0.5209614634513855
FECV	feline enteric coronavirus	0.6482213735580444
RIDT	rapid influenza diagnostic test	0.6207142472267151
alum	aluminium	0.5030484795570374
EAV	equine arteritis virus	0.6840049028396606
2009 H1N1	Influenza A/H1N1 virus	0.8065552711486816
TCAD	triple combination antiviral drug	0.4303596019744873
p3D-NT56/S. cho	p3D-NT56) of FMDV. We used guinea pigs to evaluate the inhibitory effects of recombinant S. cho	0.2810347378253937
a	Africa:	0.06099442020058632
b	burden;	0.22712017595767975
MAbs	monoclonal antibodies	0.7714950442314148
CPV	Canine parvovirus	0.6671947836875916
